"Customer ID","Max(Order Date)","Unique count(Order ID)","Sum(Sales)","First(Segment)","First(Customer Name)"
"AA-10315","2014-12-23",19,13747.412999999995,"Consumer","Alex Avila"
"AA-10375","2014-12-25",23,5884.194999999997,"Consumer","Allen Armold"
"AA-10480","2014-08-28",20,17695.589779999995,"Consumer","Andrew Allen"
"AA-10645","2014-12-03",36,15343.890699999998,"Consumer","Anna Andreadi"
"AA-315","2014-12-29",7,2243.256,"Consumer","Alex Avila"
"AA-375","2014-04-22",8,654.492,"Consumer","Allen Armold"
"AA-480","2014-02-20",5,2063.4930000000004,"Consumer","Andrew Allen"
"AA-645","2014-11-10",11,1968.3239999999996,"Consumer","Anna Andreadi"
"AB-10015","2014-12-15",32,20037.497499999998,"Consumer","Aaron Bergman"
"AB-10060","2014-11-19",32,18367.4304,"Home Office","Adam Bellavance"
"AB-10105","2014-12-04",33,22966.779999999995,"Consumer","Adrian Barton"
"AB-10150","2014-11-26",24,13057.2946,"Consumer","Aimee Bixby"
"AB-10165","2014-12-18",29,11649.264999999998,"Consumer","Alan Barnes"
"AB-10255","2014-12-26",31,10786.716400000001,"Home Office","Alejandro Ballentine"
"AB-105","2014-11-18",7,2156.4,"Consumer","Adrian Barton"
"AB-10600","2014-11-11",22,13318.6631,"Corporate","Ann Blume"
"AB-15","2013-11-14",5,4607.13,"Consumer","Aaron Bergman"
"AB-150","2013-11-28",4,3143.88,"Consumer","Aimee Bixby"
"AB-165","2014-12-15",6,1399.7759999999998,"Consumer","Alan Barnes"
"AB-255","2014-11-18",8,4679.5019999999995,"Home Office","Alejandro Ballentine"
"AB-60","2014-11-26",9,1770.228,"Home Office","Adam Bellavance"
"AB-600","2014-12-24",5,5408.55,"Corporate","Ann Blume"
"AC-10420","2014-12-25",24,10607.694699999996,"Corporate","Alyssa Crouse"
"AC-10450","2014-12-26",19,16126.3904,"Consumer","Amy Cox"
"AC-10615","2014-12-25",29,12729.724479999993,"Corporate","Ann Chong"
"AC-10660","2014-12-29",21,6255.61908,"Consumer","Anna Chung"
"AC-420","2014-12-18",9,1689.6750000000004,"Corporate","Alyssa Crouse"
"AC-450","2014-07-03",7,1026.5970000000002,"Consumer","Amy Cox"
"AC-615","2014-09-30",7,2298.4320000000002,"Corporate","Ann Chong"
"AC-660","2014-09-03",4,2676.09,"Consumer","Anna Chung"
"AD-10180","2014-12-02",27,17858.504800000002,"Home Office","Alan Dominguez"
"AD-180","2014-12-26",3,681.288,"Home Office","Alan Dominguez"
"AF-10870","2014-12-25",36,26487.258499999985,"Consumer","Art Ferguson"
"AF-10885","2014-11-08",35,19711.167279999994,"Consumer","Art Foster"
"AF-870","2014-12-26",9,1700.0820000000006,"Consumer","Art Ferguson"
"AF-885","2014-07-17",2,354.98999999999995,"Consumer","Art Foster"
"AG-10270","2014-11-21",25,10637.404219999999,"Consumer","Alejandro Grove"
"AG-10300","2014-12-29",24,13013.8762,"Corporate","Aleksandra Gannaway"
"AG-10330","2014-12-23",29,14534.50618,"Consumer","Alex Grayson"
"AG-10390","2014-09-08",19,8453.009599999998,"Consumer","Allen Goldenen"
"AG-10495","2014-10-14",29,15380.310059999998,"Corporate","Andrew Gjertsen"
"AG-10525","2014-12-19",20,8468.963,"Corporate","Andy Gerbode"
"AG-10675","2014-11-14",21,13023.836,"Consumer","Anna Gayman"
"AG-10765","2014-12-03",27,9824.779500000004,"Home Office","Anthony Garverick"
"AG-10900","2014-11-04",29,17453.53176000001,"Consumer","Arthur Gainer"
"AG-270","2014-12-18",8,2779.8059999999996,"Consumer","Alejandro Grove"
"AG-300","2014-09-24",6,1703.31,"Corporate","Aleksandra Gannaway"
"AG-330","2014-12-29",7,532.5450000000001,"Consumer","Alex Grayson"
"AG-390","2014-09-10",4,473.1120000000001,"Consumer","Allen Goldenen"
"AG-495","2014-11-13",11,1003.992,"Corporate","Andrew Gjertsen"
"AG-525","2014-12-16",7,2870.6759999999995,"Corporate","Andy Gerbode"
"AG-675","2014-07-11",10,2368.1310000000008,"Consumer","Anna Gayman"
"AG-765","2014-09-08",8,1859.5319999999997,"Home Office","Anthony Garverick"
"AG-900","2014-12-08",4,1699.4699999999998,"Consumer","Arthur Gainer"
"AH-10030","2014-12-19",27,14439.497839999998,"Corporate","Aaron Hawkins"
"AH-10075","2014-12-29",34,18109.86142,"Corporate","Adam Hart"
"AH-10120","2014-11-01",22,9927.835880000002,"Home Office","Adrian Hane"
"AH-10195","2014-11-12",25,12628.191780000003,"Corporate","Alan Haines"
"AH-10210","2014-12-25",34,20365.740179999997,"Consumer","Alan Hwang"
"AH-10465","2014-10-22",20,8547.83068,"Consumer","Amy Hunt"
"AH-10585","2014-12-10",22,9125.891099999997,"Consumer","Angele Hood"
"AH-10690","2014-12-01",31,16276.161119999992,"Corporate","Anna Häberlin"
"AH-120","2014-12-10",4,1478.0819999999999,"Home Office","Adrian Hane"
"AH-195","2014-03-28",9,2651.5650000000005,"Corporate","Alan Haines"
"AH-210","2013-09-30",4,3277.1099999999997,"Consumer","Alan Hwang"
"AH-30","2013-09-19",7,6320.016000000002,"Corporate","Aaron Hawkins"
"AH-465","2014-05-04",4,650.826,"Consumer","Amy Hunt"
"AH-585","2014-10-17",9,2232.2219999999998,"Consumer","Angele Hood"
"AH-690","2014-11-03",5,1817.8980000000001,"Corporate","Anna Häberlin"
"AH-75","2014-11-24",8,3608.3399999999997,"Corporate","Adam Hart"
"AI-10855","2014-12-18",22,8358.602300000004,"Consumer","Arianne Irving"
"AI-855","2014-06-11",4,919.9739999999999,"Consumer","Arianne Irving"
"AJ-10780","2014-11-13",25,15186.067199999998,"Corporate","Anthony Jacobs"
"AJ-10795","2014-10-30",22,8808.297000000002,"Corporate","Anthony Johnson"
"AJ-10945","2014-12-03",29,11087.023999999998,"Consumer","Ashley Jarboe"
"AJ-10960","2014-11-13",17,8633.59348,"Consumer","Astrea Jones"
"AJ-780","2014-12-30",12,2570.994000000001,"Corporate","Anthony Jacobs"
"AJ-795","2014-11-25",10,3395.5799999999995,"Corporate","Anthony Johnson"
"AJ-945","2014-09-18",7,4860.924,"Consumer","Ashley Jarboe"
"AJ-960","2014-03-12",10,4629.155999999999,"Consumer","Astrea Jones"
"AM-10360","2014-12-16",33,16730.32960000001,"Corporate","Alice McCarthy"
"AM-10705","2014-12-06",30,24208.979499999998,"Consumer","Anne McFarland"
"AM-360","2014-07-09",6,2035.8270000000005,"Corporate","Alice McCarthy"
"AM-705","2014-08-17",6,1303.7699999999995,"Consumer","Anne McFarland"
"AO-10810","2014-11-25",27,14537.796600000001,"Corporate","Anthony O'Donnell"
"AO-810","2014-12-24",5,485.00699999999995,"Corporate","Anthony O'Donnell"
"AP-10720","2014-11-20",20,15362.061299999996,"Home Office","Anne Pryor"
"AP-10915","2014-10-16",32,15877.860299999998,"Consumer","Arthur Prichep"
"AP-720","2014-11-24",6,999.6990000000002,"Home Office","Anne Pryor"
"AP-915","2014-09-30",5,2668.0799999999995,"Consumer","Arthur Prichep"
"AR-10345","2014-12-02",26,14165.7962,"Corporate","Alex Russell"
"AR-10405","2014-11-07",22,8956.82078,"Corporate","Allen Rosenblatt"
"AR-10510","2014-12-17",29,14262.495359999995,"Consumer","Andrew Roberts"
"AR-10540","2014-12-25",15,7983.950499999999,"Consumer","Andy Reiter"
"AR-10570","2014-12-29",18,9445.649319999999,"Consumer","Anemone Ratner"
"AR-10825","2014-12-09",38,15311.035600000001,"Corporate","Anthony Rawles"
"AR-345","2014-08-12",9,2301.0719999999997,"Corporate","Alex Russell"
"AR-405","2014-05-23",6,571.11,"Corporate","Allen Rosenblatt"
"AR-510","2014-09-18",10,2638.638000000001,"Consumer","Andrew Roberts"
"AR-540","2014-05-24",8,561.5999999999999,"Consumer","Andy Reiter"
"AR-570","2014-10-22",9,2044.2780000000002,"Consumer","Anemone Ratner"
"AR-825","2014-11-28",7,2028.912,"Corporate","Anthony Rawles"
"AS-10045","2014-12-08",28,12596.294399999999,"Corporate","Aaron Smayling"
"AS-10090","2014-12-16",32,15009.47272,"Consumer","Adam Shillingsburg"
"AS-10135","2014-11-20",19,7307.244199999999,"Home Office","Adrian Shami"
